system:index,Aridity_RichnessScaled,CECSOL_RichnessCutScaled,CHELSA_bio10_15_RichnessCutScaled,CHELSA_bio10_7_RichnessCutScaled,CLYPPT_RichnessCutScaled,ORCDRC_RichnessCutScaled,PETyr_RichnessScaled,PHIHOX_RichnessCutScaled,SLTPPT_RichnessCutScaled,Snow_newValues_WGS84,elevation_RichnessScaled,.geo
000000000000000006d8_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006d9_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006da_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006db_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000007d6_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007d7_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007d8_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007d9_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007da_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007db_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007dc_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007dd_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007de_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007df_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007e0_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007e1_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007e2_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
